======================================================================
                               Results
======================================================================
Process number|Arrival time    | CPU Burst    |Start Time    |Completion
_____________________________________________
    0         |   10         |        22         |   10    |   32
    1         |   68         |        12         |   68    |   80
    2         |   98         |        34         |   98    |  132
    3         |  148         |        28         |  148    |  176
    4         |  192         |         3         |  192    |  195
    5         |  223         |         8         |  223    |  231
    6         |  266         |        18         |  266    |  284
    7         |  268         |        14         |  284    |  298
    8         |  268         |        30         |  298    |  328
    9         |  296         |        10         |  328    |  338
   10         |  354         |         6         |  354    |  360
   11         |  375         |         2         |  375    |  377
   12         |  377         |        31         |  377    |  408
   13         |  406         |        10         |  408    |  418
   14         |  457         |        21         |  457    |  478
   15         |  469         |         1         |  478    |  479
   16         |  529         |         9         |  529    |  538
   17         |  559         |        12         |  559    |  571
   18         |  581         |        39         |  581    |  620
   19         |  630         |        17         |  630    |  647
   20         |  685         |        38         |  685    |  723
   21         |  696         |        30         |  723    |  753
   22         |  744         |        21         |  753    |  774
   23         |  745         |        34         |  774    |  808
   24         |  782         |        29         |  808    |  837
   25         |  804         |         4         |  837    |  841
   26         |  817         |        15         |  841    |  856
   27         |  864         |        24         |  864    |  888
   28         |  912         |        27         |  912    |  939
   29         |  953         |        21         |  953    |  974
   30         |  993         |        24         |  993    | 1017
   31         | 1038         |        25         | 1038    | 1063
   32         | 1086         |        17         | 1086    | 1103
   33         | 1107         |        20         | 1107    | 1127
   34         | 1122         |         7         | 1127    | 1134
   35         | 1150         |        17         | 1150    | 1167
   36         | 1160         |        20         | 1167    | 1187
   37         | 1211         |         2         | 1211    | 1213
   38         | 1269         |        23         | 1269    | 1292
   39         | 1272         |        39         | 1292    | 1331
   40         | 1315         |        28         | 1331    | 1359
   41         | 1331         |         1         | 1359    | 1360
   42         | 1337         |        29         | 1360    | 1389
   43         | 1342         |         1         | 1389    | 1390
   44         | 1365         |        22         | 1390    | 1412
   45         | 1401         |        30         | 1412    | 1442
   46         | 1413         |         5         | 1442    | 1447
   47         | 1431         |        10         | 1447    | 1457
   48         | 1440         |        37         | 1457    | 1494
