======================================================================
                               Results
======================================================================
Process number|Arrival time    | CPU Burst    |Start Time    |Completion
_____________________________________________
    0         |   10         |        22         |   10    |   32
    1         |   68         |        12         |   68    |   80
    2         |   98         |        34         |   98    |  132
    3         |  148         |        28         |  148    |  176
    4         |  192         |         3         |  192    |  195
    5         |  223         |         8         |  223    |  231
    6         |  266         |        18         |  266    |  284
    8         |  268         |        30         |  284    |  314
    9         |  296         |        10         |  314    |  324
    7         |  268         |        14         |  324    |  338
   10         |  354         |         6         |  354    |  360
   11         |  375         |         2         |  375    |  377
   12         |  377         |        31         |  377    |  408
   13         |  406         |        10         |  408    |  418
   14         |  457         |        21         |  457    |  478
   15         |  469         |         1         |  478    |  479
   16         |  529         |         9         |  529    |  538
   17         |  559         |        12         |  559    |  571
   18         |  581         |        39         |  581    |  620
   19         |  630         |        17         |  630    |  647
   20         |  685         |        38         |  685    |interupted
   21         |  696         |        30         |  696    |  726
   20         |  685         |        38         |  726    |interupted
   22         |  744         |        21         |  744    |interupted
   23         |  745         |        34         |  745    |  779
   22         |  744         |        21         |  779    |interupted
   24         |  782         |        29         |  782    |  811
   22         |  744         |        21         |  811    |  828
   20         |  685         |        38         |  828    |  837
   26         |  817         |        15         |  837    |  852
   25         |  804         |         4         |  852    |  856
   27         |  864         |        24         |  864    |  888
   28         |  912         |        27         |  912    |  939
   29         |  953         |        21         |  953    |  974
   30         |  993         |        24         |  993    | 1017
   31         | 1038         |        25         | 1038    | 1063
   32         | 1086         |        17         | 1086    | 1103
   33         | 1107         |        20         | 1107    | 1127
   34         | 1122         |         7         | 1127    | 1134
   35         | 1150         |        17         | 1150    |interupted
   36         | 1160         |        20         | 1160    | 1180
   35         | 1150         |        17         | 1180    | 1187
   37         | 1211         |         2         | 1211    | 1213
   38         | 1269         |        23         | 1269    |interupted
   39         | 1272         |        39         | 1272    | 1311
   38         | 1269         |        23         | 1311    |interupted
   40         | 1315         |        28         | 1315    | 1343
   43         | 1342         |         1         | 1343    | 1344
   42         | 1337         |        29         | 1344    | 1373
