Number of Producers | Number of Consumers | Runtime (ms)
         1          |         1           |    58
         4          |         1           |    49
        16          |         1           |    58
         1          |         2           |   537
         4          |         2           |    51
        16          |         2           |    55
         1          |         4           |  1413
         4          |         4           |    61
        16          |         4           |   551
         1          |        16           |  8152
         4          |        16           |  1451
        16          |        16           |   572
